64,0,HD 720p,Maken-Ki!,12,0,0,3800601454,1,Maken-Ki!,2014-08-10,Fall,2011,4,56,0,,,
65,0,HD 720p,Mangirl!,13,0,0,650623681,1,Mangirl!,2015-04-14,Winter,2013,0,54,6,HorribleSubs,,
66,0,HD 720p,Maoyuu Maou Yuusha,12,0,0,3782861568,1,Maoyuu Maou Yuusha,2014-11-05,Winter,2013,4,43,57,Commie,,
67,0,HD 720p,Maria Holic,12,0,0,0,1,Maria Holic,2014-02-10,Winter,2009,4,55,1,,,
68,0,HD 720p,Maria Holic Alive,12,0,0,0,2,Maria Holic,2014-10-12,,,4,42,59,,,
69,0,HD 720p,Mashiro-iro Symphony,12,0,3,4583944069,1,Mashiro-iro Symphony,2014-04-08,,,5,12,23,,,
70,0,HD 720p,Mayo Chiki!,13,0,0,4485955223,1,Mayo Chiki!,2013-03-12,Summer,2011,5,13,37,,,
71,0,HD 720p,Medaka Box,12,0,0,0,1,Medaka Box,2013-04-06,Spring,2012,4,44,27,,,
72,0,HD 720p,Medaka Box Abnormal,12,0,0,0,2,Medaka Box,2013-12-14,,,4,44,12,,,
73,0,HD 720p,Meganebu!,12,0,0,4048571600,1,Meganebu!,2014-05-21,,,4,44,9,,,
74,0,HD 720p,Minami-ke,13,0,0,0,1,Minami-ke,2013-11-26,,,5,14,8,,,
75,0,HD 720p,Minami-ke Okaeri (Season 3),13,0,0,0,3,Minami-ke,2015-05-15,,,5,14,8,Nekomimi,,
76,0,HD 720p,Minami-ke Okawari (Season 2),13,0,0,0,2,Minami-ke,2015-04-21,,,5,14,10,Ayu,,
77,0,HD 720p,Momo Kyun Sword,12,0,0,5810517001,1,Momo Kyun Sword,2015-05-28,Summer,2014,4,43,58,FFF,,
78,0,HD 720p,Moshidora,10,0,0,8744652783,1,Moshidora,2013-06-22,Winter,2011,4,10,25,,,
79,0,HD 720p,Nazo no Kanojo X,13,0,0,4402585407,1,Nazo no Kanojo X,2013-11-30,Spring,2012,5,8,4,,,
